
Все фоновые задания выполнены

=== ОТЧЕТ О РАБОТЕ ПАРАЛЛЕЛЬНЫХ ПОТОКОВ ===

1. ОБЩАЯ ИНФОРМАЦИЯ
   - Дата и время начала: 25.11.2025 07:59:57
   - Дата и время окончания: 25.11.2025 08:12:37
   - Общая длительность: 760,00 сек
   - Базовое количество потоков (N): 6
   - Общее количество созданных потоков: 859
   - Средний вес договоров: 18,60
   - Целевой вес потока (Q1 + 1.5×IQR): 15,50
   - Общее количество договоров: 1546
   - Общее количество задач: 28757

2. РАСПРЕДЕЛЕНИЕ ПОТОКОВ
   Номер |   Вес |  Кол-во | Время запуск | Время завершени | Длительность | Статус    
     217 |    22 |       1 | 08:10:03     | 08:10:07        |     4,00 сек | Успешно   
     218 |    22 |       1 | 08:10:04     | 08:10:08        |     4,00 сек | Успешно   
     219 |    22 |       1 | 08:10:04     | 08:10:08        |     4,00 сек | Успешно   
     220 |    22 |       1 | 08:10:04     | 08:10:08        |     4,00 сек | Успешно   
     221 |    22 |       1 | 08:10:04     | 08:10:08        |     4,00 сек | Успешно   
     222 |    22 |       1 | 08:10:07     | 08:10:11        |     4,00 сек | Успешно   
     223 |    22 |       1 | 08:10:07     | 08:10:11        |     4,00 сек | Успешно   
     224 |    22 |       1 | 08:10:07     | 08:10:11        |     4,00 сек | Успешно   
     225 |    21 |       1 | 08:10:07     | 08:10:12        |     5,00 сек | Успешно   
     226 |    21 |       1 | 08:10:07     | 08:10:12        |     5,00 сек | Успешно   
     227 |    21 |       1 | 08:10:07     | 08:10:12        |     5,00 сек | Успешно   
     228 |    21 |       1 | 08:10:07     | 08:10:12        |     5,00 сек | Успешно   
     229 |    21 |       1 | 08:10:08     | 08:10:12        |     4,00 сек | Успешно   
     230 |    21 |       1 | 08:10:08     | 08:10:12        |     4,00 сек | Успешно   
     231 |    21 |       1 | 08:10:08     | 08:10:12        |     4,00 сек | Успешно   
     232 |    21 |       1 | 08:10:08     | 08:10:12        |     4,00 сек | Успешно   
     233 |    21 |       1 | 08:10:08     | 08:10:12        |     4,00 сек | Успешно   
     234 |    21 |       1 | 08:10:11     | 08:10:15        |     4,00 сек | Успешно   
     235 |    21 |       1 | 08:10:11     | 08:10:15        |     4,00 сек | Успешно   
     236 |    21 |       1 | 08:10:11     | 08:10:16        |     5,00 сек | Успешно   
     237 |    21 |       1 | 08:10:12     | 08:10:16        |     4,00 сек | Успешно   
     238 |    21 |       1 | 08:10:12     | 08:10:16        |     4,00 сек | Успешно   
     239 |    21 |       1 | 08:10:12     | 08:10:16        |     4,00 сек | Успешно   
     240 |    21 |       1 | 08:10:12     | 08:10:16        |     4,00 сек | Успешно   
     241 |    21 |       1 | 08:10:12     | 08:10:16        |     4,00 сек | Успешно   
     242 |    21 |       1 | 08:10:12     | 08:10:16        |     4,00 сек | Успешно   
     243 |    21 |       1 | 08:10:12     | 08:10:16        |     4,00 сек | Успешно   
     244 |    20 |       1 | 08:10:12     | 08:10:16        |     4,00 сек | Успешно   
     245 |    20 |       1 | 08:10:12     | 08:10:16        |     4,00 сек | Успешно   
     246 |    20 |       1 | 08:10:15     | 08:10:20        |     5,00 сек | Успешно   
     247 |    20 |       1 | 08:10:15     | 08:10:20        |     5,00 сек | Успешно   
     248 |    20 |       1 | 08:10:16     | 08:10:20        |     4,00 сек | Успешно   
     249 |    20 |       1 | 08:10:16     | 08:10:20        |     4,00 сек | Успешно   
